column_name,mean,std,min,max,missing_count
Air Temperature,12.637673604912708,10.430215704352504,-29.78,37.6,75
Wet Bulb Temperature,10.284489395488823,9.400361692080597,-28.9,28.4,75859
Humidity,68.01718687862628,15.63720666329817,0.0,100.0,0
Rain Intensity,0.15899699864481748,1.7946629090163209,0.0,183.6,75859
Interval Rain,0.14245281383515687,1.0973987535570098,-0.9,63.42,0
Total Rain,141.54561062197058,190.51441618699658,0.0,1056.1,75859
Precipitation Type,4.258723467937046,15.573223748787742,0.0,70.0,75859
Wind Direction,140.81943325617678,121.98736216501656,0.0,359.0,0
Wind Speed,2.9191212309700316,5.344165239862054,0.0,999.9,0
Maximum Wind Speed,3.558420091976058,5.95715583398156,0.0,999.9,0
Barometric Pressure,994.3113718927302,10.031376192772369,0.0,3098.5,146
Solar Radiation,112.41168463020934,843.1782995992247,-100000.0,1277.0,0
Heading,281.91250342952634,142.80907997283137,0.0,359.0,75859
Battery Life,13.162958733136872,1.5445832965267954,0.0,15.3,0
